ts,kind,action,strike,expiry,contracts,price_per_share,spot,iv,delta,slippage,commission,pnl,leaps_id,short_id,reason,cash_after
2021-04-26 00:00:00,SMH_SPREAD,CLOSE,116.5,2021-04-30,2,0.210827,122.96177673339844,0.391731,,0.0,2.6,270.878215,,,SMH_PROFIT_TAKE,6132.293775551596
2021-04-26 00:00:00,SMH_SPREAD,SELL_TO_OPEN,117.5,2021-05-10,2,1.488611,122.96177673339844,0.387301,0.25,0.0,2.6,0.0,,,SMH_ENTRY,6129.6937755515955
2021-05-04 00:00:00,SMH_SPREAD,CLOSE,117.5,2021-05-10,2,3.267866,115.07351684570312,0.313227,,0.0,2.6,-361.05096,,,SMH_LOSS_LIMIT,5768.64281517199
2021-05-04 00:00:00,SMH_SPREAD,SELL_TO_OPEN,110.5,2021-05-18,1,1.142342,115.07351684570312,0.331901,0.25,0.0,1.3,0.0,,,SMH_ENTRY,5767.34281517199
2021-05-07 00:00:00,SMH_SPREAD,CLOSE,110.5,2021-05-18,1,0.451278,118.17837524414062,0.349706,,0.0,1.3,66.506387,,,SMH_PROFIT_TAKE,5833.849202397169
2021-05-07 00:00:00,SMH_SPREAD,SELL_TO_OPEN,113.5,2021-05-21,1,1.219936,118.17837524414062,0.337573,0.25,0.0,1.3,0.0,,,SMH_ENTRY,5832.549202397169
2021-05-10 00:00:00,SMH_SPREAD,CLOSE,113.5,2021-05-21,1,3.097599,112.93892669677734,0.367635,,0.0,1.3,-190.366341,,,SMH_GAP_SLIP,5642.182861532598
2021-05-11 15:00:00-04:00,LEAPS,SKIP_INSUFFICIENT_CASH,250.64843626403808,,0,83.19209193170019,325.31,0.2930928020477295,0.850006203264243,0.0,0.0,0.0,,,,5642.182861532598
2021-05-13 15:00:00-04:00,SHORT_CALL,SELL_TO_OPEN,338.96973426818846,2021-06-14 00:00:00-04:00,1,3.1560176910289925,319.35,0.259055990600586,0.23,0.0,1.0,0.0,L0001,S0019,PMCC_OPEN_BULL_MODERATE,5956.784630635497
2021-05-13 15:00:00-04:00,SHORT_CALL,SELL_TO_OPEN,338.96973426818846,2021-06-14 00:00:00-04:00,1,3.1560176910289925,319.35,0.259055990600586,0.23,0.0,1.0,0.0,L0004,S0020,PMCC_OPEN_BULL_MODERATE,6271.386399738396
2021-05-17 10:00:00-04:00,SHORT_CALL,BUY_TO_CLOSE,338.96973426818846,2021-06-14 00:00:00-04:00,1,2.743838745002094,324.13,0.2208639923095703,0.2416044695836923,0.0,1.0,40.21789460268985,L0001,S0019,PMCC_PROFIT_EARLY,5996.0025252381865
2021-05-17 10:00:00-04:00,SHORT_CALL,BUY_TO_CLOSE,338.96973426818846,2021-06-14 00:00:00-04:00,1,2.743838745002094,324.13,0.2208639923095703,0.2416044695836923,0.0,1.0,40.21789460268985,L0004,S0020,PMCC_PROFIT_EARLY,5720.618650737977
2021-05-17 15:00:00-04:00,LEAPS,SKIP_INSUFFICIENT_CASH,260.6242916259765,,0,77.55225283580046,324.44,0.2646423907852173,0.7999921112543208,0.0,0.0,0.0,,,,5720.618650737977
2021-05-17 15:00:00-04:00,SHORT_CALL,SELL_TO_OPEN,341.2316858673096,2021-06-18 00:00:00-04:00,1,2.7484758164086998,324.44,0.2208639923095703,0.23,0.0,1.0,0.0,L0001,S0021,PMCC_OPEN_BULL_MODERATE,5994.466232378847
2021-05-17 15:00:00-04:00,SHORT_CALL,SELL_TO_OPEN,341.2316858673096,2021-06-18 00:00:00-04:00,1,2.7484758164086998,324.44,0.2208639923095703,0.23,0.0,1.0,0.0,L0004,S0022,PMCC_OPEN_BULL_MODERATE,6268.313814019717
2021-05-19 10:00:00-04:00,SHORT_CALL,BUY_TO_CLOSE,341.2316858673096,2021-06-18 00:00:00-04:00,1,2.2273924016400457,319.33,0.24841600341796877,0.1851843043391454,0.0,1.0,51.108341476865405,L0001,S0021,PMCC_PROFIT_EARLY,6044.5745738557125
2021-05-19 10:00:00-04:00,SHORT_CALL,BUY_TO_CLOSE,341.2316858673096,2021-06-18 00:00:00-04:00,1,2.2273924016400457,319.33,0.24841600341796877,0.1851843043391454,0.0,1.0,51.108341476865405,L0004,S0022,PMCC_PROFIT_EARLY,5820.835333691708
2021-05-19 15:00:00-04:00,SHORT_CALL,SELL_TO_OPEN,341.56203646087647,2021-06-20 00:00:00-04:00,1,3.062117942704859,322.62,0.24841600341796877,0.23,0.0,1.0,0.0,L0001,S0023,PMCC_OPEN_BULL_MODERATE,6126.047127962194
2021-05-19 15:00:00-04:00,SHORT_CALL,SELL_TO_OPEN,341.56203646087647,2021-06-20 00:00:00-04:00,1,3.062117942704859,322.62,0.24841600341796877,0.23,0.0,1.0,0.0,L0004,S0024,PMCC_OPEN_BULL_MODERATE,6431.258922232681
2021-05-24 00:00:00,SMH_SPREAD,SELL_TO_OPEN,112.0,2021-06-07,2,1.60082,118.08133697509766,0.442045,0.25,0.0,2.6,0.0,,,SMH_ENTRY,6428.65892223268
2021-05-28 00:00:00,SMH_SPREAD,CLOSE,112.0,2021-06-07,2,0.56719,120.8902587890625,0.426811,,0.0,2.6,201.525969,,,SMH_PROFIT_TAKE,6630.184891494197
2021-05-28 00:00:00,SMH_SPREAD,SELL_TO_OPEN,115.0,2021-06-11,2,1.509613,120.8902587890625,0.412502,0.25,0.0,2.6,0.0,,,SMH_ENTRY,6627.584891494196
2021-06-01 10:00:00-04:00,SHORT_CALL,BUY_TO_CLOSE,341.56203646087647,2021-06-20 00:00:00-04:00,1,2.5087859530914898,331.99,0.20047999572753908,0.2747717908981734,0.0,1.0,54.333198961336905,L0001,S0023,PMCC_PROFIT_EARLY,6375.706296185047
2021-06-01 10:00:00-04:00,SHORT_CALL,BUY_TO_CLOSE,341.56203646087647,2021-06-20 00:00:00-04:00,1,2.5087859530914898,331.99,0.20047999572753908,0.2747717908981734,0.0,1.0,54.333198961336905,L0004,S0024,PMCC_PROFIT_EARLY,6123.827700875898
2021-06-01 15:00:00-04:00,SHORT_CALL,SELL_TO_OPEN,348.36881271743766,2021-07-03 00:00:00-04:00,1,2.566720171575284,332.83,0.20047999572753908,0.23,0.0,1.0,0.0,L0001,S0025,PMCC_OPEN_BULL_MODERATE,6379.499718033426
2021-06-01 15:00:00-04:00,SHORT_CALL,SELL_TO_OPEN,348.36881271743766,2021-07-03 00:00:00-04:00,1,2.566720171575284,332.83,0.20047999572753908,0.23,0.0,1.0,0.0,L0004,S0026,PMCC_OPEN_BULL_MODERATE,6635.171735190954
2021-06-03 15:00:00-04:00,SHORT_CALL,BUY_TO_CLOSE,348.36881271743766,2021-07-03 00:00:00-04:00,1,1.8252366328004825,329.87,0.20204801025390626,0.180679260425266,0.0,1.0,73.14835387748013,L0001,S0025,PMCC_PROFIT_EARLY,6451.648071910906
2021-06-03 15:00:00-04:00,SHORT_CALL,BUY_TO_CLOSE,348.36881271743766,2021-07-03 00:00:00-04:00,1,1.8252366328004825,329.87,0.20204801025390626,0.180679260425266,0.0,1.0,73.14835387748013,L0004,S0026,PMCC_PROFIT_EARLY,6268.124408630858
