ts,nav,spot
2022-05-02,40156.674,318.48
2022-05-03,40225.1561,318.82
2022-05-04,40540.169,329.6
2022-05-05,40133.541,313.0
2022-05-06,40098.0719,309.25
2022-05-09,39520.5093,297.15
2022-05-10,40018.2119,300.76
2022-05-11,39552.9472,291.84
2022-05-12,39798.2109,291.15
2022-05-13,40591.1767,301.94
2022-05-16,40921.6254,298.44
2022-05-17,41221.0151,306.17
2022-05-18,40876.5456,291.14
2022-05-19,40990.0826,289.58
2022-05-20,41099.9509,288.68
2022-05-23,41439.0583,293.48
2022-05-24,41381.5992,287.24
2022-05-25,41595.1893,291.26
2022-05-26,41998.7824,299.33
2022-05-27,42267.5183,309.1
2022-05-31,42580.6464,308.28
2022-06-01,42508.1155,306.0
2022-06-02,42851.2342,314.38
2022-06-03,42710.0546,306.2
2022-06-06,42973.084,307.22
2022-06-07,43277.0335,309.87
2022-06-08,43138.6441,307.64
2022-06-09,42882.1792,299.4
2022-06-10,42129.4622,288.84
2022-06-13,40514.6567,275.41
2022-06-14,40631.2533,275.91
2022-06-15,40903.4499,282.8
2022-06-16,40435.2214,271.39
2022-06-17,40577.9999,274.69
2022-06-21,41028.7466,281.08
2022-06-22,40973.9902,280.67
2022-06-23,41016.2394,284.85
2022-06-24,41322.2222,294.61
2022-06-27,41521.7727,292.45
2022-06-28,41444.7072,283.54
2022-06-29,41309.4231,283.8
2022-06-30,41219.7985,280.28
2022-07-01,40671.6728,282.13
2022-07-05,41073.253,286.96
2022-07-06,41298.2,288.8
2022-07-07,41957.0314,294.98
2022-07-08,42096.192,295.35
2022-07-11,42076.296,289.04
2022-07-12,42184.5978,286.24
2022-07-13,42435.7501,285.65
2022-07-14,42599.8028,286.67
2022-07-15,42807.7689,291.87
2022-07-18,43062.9037,289.4
2022-07-19,43301.4399,298.3
2022-07-20,43425.6983,303.03
2022-07-21,43622.5193,307.38
2022-07-22,43443.7642,301.99
2022-07-25,43631.747,300.27
2022-07-26,43524.7586,294.37
2022-07-27,43881.2612,306.81
2022-07-28,44070.1248,309.81
2022-07-29,44199.8554,315.46
2022-08-01,44418.7771,315.27
2022-08-02,44434.4083,314.33
2022-08-03,44667.5925,322.89
2022-08-04,44823.9588,324.4
2022-08-05,44774.3068,321.75
2022-08-08,44732.8193,320.71
2022-08-09,43739.4518,317.08
2022-08-10,44003.6201,325.93
2022-08-11,44049.4142,324.08
2022-08-12,44180.6047,330.39
2022-08-15,44394.1544,333.06
2022-08-16,44423.8888,332.28
2022-08-17,44235.3167,328.49
2022-08-18,44455.2534,329.28
2022-08-19,44156.2952,322.86
2022-08-22,43617.668,314.36
2022-08-23,43908.7625,314.1
2022-08-24,44084.2346,315.01
2022-08-25,44790.6898,320.58
2022-08-26,43841.1761,307.44
2022-08-29,43827.7338,304.41
2022-08-30,43767.2157,301.02
2022-08-31,43810.301,299.27
2022-09-01,43571.7184,299.4
2022-09-02,43474.0533,295.17
2022-09-06,43595.4665,293.05
2022-09-07,44081.864,298.97
2022-09-08,44436.6514,300.52
2022-09-09,44605.128,307.09
2022-09-12,44765.7215,310.74
2022-09-13,43772.6273,293.7
2022-09-14,43879.7756,296.03
2022-09-15,43792.3927,291.1
2022-09-16,43894.9289,289.32
2022-09-19,44083.6285,291.05
2022-09-20,44053.1318,288.73
2022-09-21,44027.3801,283.56
2022-09-22,43716.4848,280.07
2022-09-23,43648.547,275.51
2022-09-26,43694.5387,274.37
2022-09-27,43901.3677,274.48
2022-09-28,44168.9794,279.94
2022-09-29,43530.5338,271.87
2022-09-30,43141.8544,267.26
2022-10-03,43374.3219,273.53
2022-10-04,43469.4961,282.13
2022-10-05,43594.5958,281.98
2022-10-06,43600.5555,279.76
2022-10-07,42875.2623,269.1
2022-10-10,42370.9997,266.41
2022-10-11,42278.2508,262.75
2022-10-12,42281.2842,262.66
2022-10-13,42510.3005,268.82
2022-10-14,42113.2591,260.74
2022-10-17,42504.3505,269.35
2022-10-18,42574.8543,271.48
2022-10-19,42685.1293,270.49
2022-10-20,42797.9614,269.11
2022-10-21,42965.4043,275.42
2022-10-24,43092.1767,278.45
2022-10-25,43231.9457,284.21
2022-10-26,43227.0161,277.93
2022-10-27,43230.9916,272.87
2022-10-28,43431.439,281.22
2022-10-31,43494.0072,277.95
2022-11-01,43678.9796,275.11
2022-11-02,43479.0525,265.68
2022-11-03,43419.3107,260.49
2022-11-04,43867.0498,264.68
2022-11-07,44192.6252,267.59
2022-11-08,44341.5748,269.54
2022-11-09,44069.6966,263.32
2022-11-10,44409.2581,282.75
2022-11-11,44643.7998,287.96
2022-11-14,44752.0031,285.44
2022-11-15,45033.1323,289.39
2022-11-16,44754.5206,285.44
2022-11-17,44903.1802,284.81
2022-11-18,45022.8058,284.82
2022-11-21,45153.3837,281.89
2022-11-22,45399.2086,285.95
2022-11-23,45527.9828,288.82
2022-11-25,45597.9908,286.92
2022-11-28,45666.7886,282.71
2022-11-29,45739.3709,280.57
2022-11-30,46049.3043,293.36
2022-12-01,46145.3803,293.72
2022-12-02,46141.3522,292.55
2022-12-05,46301.8586,287.64
2022-12-06,46151.4555,281.68
2022-12-07,46236.0441,280.53
2022-12-08,46549.2368,283.85
2022-12-09,46966.9984,282.04
2022-12-12,47273.3555,285.58
2022-12-13,47377.4847,288.65
2022-12-14,47285.7064,286.51
2022-12-15,46756.8793,276.89
2022-12-16,46633.3745,274.25
2022-12-19,46652.7952,269.75
2022-12-20,46668.4303,269.54
2022-12-21,46921.2635,273.45
2022-12-22,46488.3466,266.76
2022-12-23,46555.7016,267.36
2022-12-27,46617.5591,263.58
2022-12-28,46451.7987,260.1
2022-12-29,47144.6222,266.44
2022-12-30,47147.4745,266.28
2023-01-03,47247.2209,264.48
2023-01-04,47416.5812,265.74
2023-01-05,47293.0255,261.58
2023-01-06,47566.6247,268.8
2023-01-09,47775.1297,270.54
2023-01-10,47917.2698,272.83
2023-01-11,48045.7636,277.55
2023-01-12,48146.7519,279.05
2023-01-13,48244.8486,280.97
2023-01-17,48532.5585,281.54
2023-01-18,48514.639,277.88
2023-01-19,48212.2638,275.15
2023-01-20,48591.5235,282.68
2023-01-23,48942.8351,288.96
2023-01-24,49076.819,288.37
2023-01-25,49134.3154,287.73
2023-01-26,49341.1619,293.34
2023-01-27,49335.2042,296.26
2023-01-30,49135.9513,290.27
2023-01-31,49404.8023,294.62
2023-02-01,49752.5629,300.92
2023-02-02,50000.8682,311.72
2023-02-03,49886.2329,306.18
2023-02-06,49913.2106,303.59
2023-02-07,50190.6015,309.88
2023-02-08,49956.0916,304.37
2023-02-09,50066.138,301.68
2023-02-10,49863.3542,299.7
2023-02-13,50262.1838,304.5
2023-02-14,50522.76,306.75
2023-02-15,50574.6685,309.1
2023-02-16,50284.2103,303.3
2023-02-17,50170.734,301.16
2023-02-21,49873.9686,294.03
2023-02-22,49799.3392,294.25
2023-02-23,50043.2695,296.82
2023-02-24,49958.2137,291.85
2023-02-27,50122.1347,293.94
2023-02-28,50221.6465,293.56
2023-03-01,50291.1745,291.2
2023-03-02,50530.3617,293.61
2023-03-03,50715.7534,299.68
2023-03-06,50778.3229,300.02
2023-03-07,50733.5414,296.34
2023-03-08,50947.8686,297.82
2023-03-09,50756.9804,292.66
2023-03-10,50527.8005,288.55
2023-03-13,50689.5048,290.69
2023-03-14,51095.4992,297.37
2023-03-15,51053.108,298.93
2023-03-16,51319.1564,306.81
2023-03-17,51372.7923,305.36
2023-03-20,51622.3106,305.97
2023-03-21,51743.3085,310.34
2023-03-22,51708.9598,306.12
2023-03-23,52010.3603,309.75
2023-03-24,51863.6603,310.89
2023-03-27,51804.4996,308.76
2023-03-28,51727.8524,307.12
2023-03-29,52152.4025,312.72
2023-03-30,52301.1596,315.68
2023-03-31,52424.7057,320.93
2023-04-03,52507.9963,320.15
2023-04-04,52376.2176,319.07
2023-04-05,52185.8472,315.92
2023-04-06,52230.8702,318.05
2023-04-10,52725.0806,317.87
2023-04-11,52698.0256,315.83
2023-04-12,52529.9257,313.04
2023-04-13,52706.5454,319.17
2023-04-14,52892.8155,318.57
2023-04-17,53006.7342,318.84
2023-04-18,53083.3798,318.86
2023-04-19,52986.9335,318.71
2023-04-20,53040.5604,316.28
2023-04-21,53012.3048,316.61
2023-04-24,53058.1417,315.95
2023-04-25,52189.3172,309.99
2023-04-26,52618.9887,311.87
2023-04-27,54135.1699,320.35
2023-04-28,54443.8818,322.56
2023-05-01,54456.7248,322.19
2023-05-02,54232.0624,319.38
2023-05-03,53663.133,317.29
2023-05-04,53766.5986,316.17
2023-05-05,54886.6134,322.89
2023-05-08,55101.8708,323.69
2023-05-09,54663.4868,321.64
2023-05-10,55297.9621,325.14
2023-05-11,55365.3006,326.2
2023-05-12,55181.2604,325.03
2023-05-15,55769.7191,326.79
2023-05-16,56019.4866,327.16
2023-05-17,56755.4431,331.12
2023-05-18,57998.6553,337.27
2023-05-19,57929.2416,336.51
2023-05-22,58238.5401,337.64
2023-05-23,57464.6707,333.36
2023-05-24,57125.0574,331.65
2023-05-25,58863.2136,339.72
2023-05-26,60602.5541,348.4
2023-05-30,61162.5343,349.98
2023-05-31,60612.312,347.99
2023-06-01,61413.0127,352.01
2023-06-02,61914.4639,354.65
2023-06-05,62071.39,354.9
2023-06-06,62162.9761,354.84
2023-06-07,61016.6534,348.82
2023-06-08,62000.7467,353.15
2023-06-09,62391.5853,354.5
2023-06-12,63933.3966,360.49
2023-06-13,64689.679,363.26
2023-06-14,65375.103,365.9
2023-06-15,66248.0494,370.26
2023-06-16,65825.9548,367.93
2023-06-20,65854.4593,366.9
2023-06-21,64516.1397,361.9
2023-06-22,65538.1756,366.17
2023-06-23,64630.5487,362.54
2023-06-26,64416.5473,357.68
2023-06-27,66101.753,363.83
2023-06-28,66114.6931,364.54
2023-06-29,66084.3749,363.81
2023-06-30,67423.2071,369.42
2023-07-03,67736.6583,370.29
2023-07-05,67494.6739,370.28
2023-07-06,66751.6636,367.46
2023-07-07,66562.0135,366.24
2023-07-10,67027.6985,366.36
2023-07-11,67454.2825,368.17
2023-07-12,68609.2754,372.82
